image,model,commons_file,author,licence,licence_url,source
images/canon/canon-a-1.jpg,Canon A-1,Canon a1.JPG,Martintoy,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Canon_a1.JPG
images/canon/canon-ae-1-program.jpg,Canon AE-1 Program,Canon AE-1 Program D Barthel.jpg,Denis Barthel,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_AE-1_Program_D_Barthel.jpg
images/canon/canon-ae-1.jpg,Canon AE-1,Canon AE-1 front with 50mm lens.jpg,en:User:Cburnett,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Canon_AE-1_front_with_50mm_lens.jpg
images/canon/canon-al-1.jpg,Canon AL-1,Canon AL-1 film camera.jpg,Riverguardian,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_AL-1_film_camera.jpg
images/canon/canon-at-1.jpg,Canon AT-1,Canon AT-1- 50mm.jpg,Nismo834,Public domain,,https://commons.wikimedia.org/wiki/File:Canon_AT-1-_50mm.jpg
images/canon/canon-av-1.jpg,Canon AV-1,Canon AV-1 front web.jpg,SNx at English Wikipedia,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Canon_AV-1_front_web.jpg
images/canon/canon-canonflex.jpg,Canon Canonflex,Canonflex RP 50mm.jpg,Hiyotada,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canonflex_RP_50mm.jpg
images/canon/canon-ef-100-300mm-lens.jpg,Canon EF 100–300mm lens,Canon 100-300.jpg,GodeNehler,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_100-300.jpg
images/canon/canon-ef-100-400mm-lens.jpg,Canon EF 100–400mm lens,Objektivschelle2.jpg,No machine-readable author provided. Kapege.de assumed (based on copyright claims).,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,https://commons.wikimedia.org/wiki/File:Objektivschelle2.jpg
images/canon/canon-ef-100mm-f2-8l-macro-is-usm.jpg,Canon EF 100mm F2.8L Macro IS USM,Canon EF 100mm f2.8L Macro IS USM front horizontal.jpg,Lucasbosch,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_EF_100mm_f2.8L_Macro_IS_USM_front_horizontal.jpg
images/canon/canon-ef-100mm-lens.jpg,Canon EF 100mm lens,Canon 100mm Macro Lens non-USM.jpg,N0hott,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Canon_100mm_Macro_Lens_non-USM.jpg
images/canon/canon-ef-11-24mm-lens.jpg,Canon EF 11–24mm lens,Canon EF 11-24mm F4L USM.jpg,Basile Morin,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Canon_EF_11-24mm_F4L_USM.jpg
